Id,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
467, on 09/02/09 16:09 PM (PDT),Mike W. ,2009 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),This Avenger is Great!, I bought this '09 Avenger SXT at the end of June. I was trading in an '03 Intrepid that had been great for me but it was time to go new. And I was ready to go back to 4-cyl. The car looked great and handled the test drive much better than what I had read about its performance. No complaints at all two months later. Love the satellite radio! Love the interior room! Love the easy handling! Love the smoothness! Have figured out the blind spot issue - no problem at all.  ,5
468, on 08/25/09 09:03 AM (PDT),L2 ,2009 Dodge Avenger Sedan R/T 4dr Sedan w/Prod. End 11/08 (3.5L 6cyl 6A),Rock Hard Seats, I have 16k miles on now. Drive all the time. Seats are rock hard. Back seat makes you feel like a dungeon. I have to lean forward to look out. Front seat would be more comfortable if flat. Hav enothad great gas mileage either. Horrible visibility and blind spots.,3.5
469, on 08/18/09 09:50 AM (PDT),Bill ,2009 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),GROSSLY Underrated!!," I bought my 2009 sxt (2.7l v^) in November of 2008 and love it to death!  Solid construction; beautiful design; fast performance; overall, it's great!  Just because it's not an import is no reason for car & driver and Edmund's to slam it.  They rank it low on ""fun to drive, "" and they either didn't drive one or are stupid!  This car is a blast!",5
470, on 08/07/09 08:45 AM (PDT),RMU ,2009 Dodge Avenger Sedan SXT 4dr Sedan w/Prod. End 11/08 (2.4L 4cyl 4A),Avenger Lover," I too don't understand the poor ratings from Edmunds. This car is awesome! I call it my mini-Charger! Exterior styling is great, interior styling nice with my SXT (older version as the 'newer' '09 SXT is the earlier '09 SE-a bit confusing)!  Excellent sound system, Huge interior and trunk space, a real head turner! I'm 6-4"" and have more space than I need without compromising space for rear passengers. Can't say enough good things about this car.  oh, and 33+ mpg on the highway! Long Live Dodge!",4.875
471, on 08/06/09 07:02 AM (PDT),telamm ,2009 Dodge Avenger Sedan SE 4dr Sedan w/Prod. End 11/08 (2.7L 6cyl 4A),"I love it, but could be better"," I purchased this after getting rid of my clunker Mountaineer-V8.  So naturally I am going to have to get used to the 4 Cyl. But I love the ride, the lack of noise, and the way the car looks.  The chrome on the inside is blinding during the day, haven't come up with a solution to that yet.  The 4- Speed Trans is a little primitive. The car would be 3x better if it was a 5.  Other than steeping down so far into a 4 cyl, I love the car.  Very good decision and paid THOUSANDS less than getting a Fusion, Malibu, Accord (even civic). I paid $ll.2k after taxes!",4.375
472, on 08/04/09 20:39 PM (PDT),JMB*08 ,2009 Dodge Avenger Sedan SE 4dr Sedan w/Prod. End 11/08 (2.7L 6cyl 4A),LOVE my Avenger!!! No regrets!," I purchased my Avenger 2 months ago after a LONG search. I was a little worried about purchasing a Dodge but... Definitely no regrets!  Great price. Avg 24 MPGs, nice smooth ride with lots of power even in my 4cyl engine. I find myself speeding a lot it's so smooth. Lots of room in back seat. I have 3 boys ages 13, 15, and 8 and they all fit very comfortably. Big sized trunk...I'm routinely carrying 3 baseball bags, 4 folding chairs and 2 handled cooler with extra room left. Comfy front seats, LOVE the Sirus radio. And you cant miss the exterior looks!  The Avenger is fierce looking...great style!",4.875
473, on 08/02/09 18:35 PM (PDT),fields ,2009 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),2009 Avenger," We bought this 2009 avenger new it had 103 miles on it. It has a 2.7v-6 SXT. We love the outside, the inside and it rides and drives great.  Hope I still like it when it has 103,000.  :)",4.875
474, on 07/29/09 12:43 PM (PDT),Bobc ,2009 Dodge Avenger Sedan SE 4dr Sedan w/Prod. End 11/08 (2.7L 6cyl 4A),Love it," Not sure why Edmunds slammed this car so bad???  I Love it!  I test drove the Malibu and then the Avenger, and liked it better.  It is roomer, just as smooth a ride, and had a little more pickup to it.  Plus the Malibu still has the Grampa car look to it, but not the Avenger.  Awesome sound system!",4.75
475, on 06/11/09 19:47 PM (PDT),Vengance ,2009 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),From Mercedes to a Dodge," I have owned a dozen Mercedes,and still have 2. The one I drove most is a 4.5L V8 SL. I went on a new car shopping weekend, determined for another Mercedes. Some how ended up liking the looks of the Avenger. Took a test drive, actually 3, at 3 different dealers. Fell in LOVE. I don't know if others who wrote reviews bought earlier in the year, but mine was made a month before I bought it. Performance is phenominal! I found my self speeding,ALOT. Coming from a V8 I am impressed. It is a 4cylinder mind you and only 2.4L. Mine has the VVT engine, could be the difference. Interior and trunk space HUGE. Edmunds is wrong on ""MY"" Avenger. Electronics and kid friendliness AWESOME!Sports car/mini van",5
476, on 06/04/09 21:39 PM (PDT),tbarlow ,2009 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 4A),Trim in the interior," I just purchased a 2009 Avenger SXT.  Love it except for the chrome/silver trim around and on the gear shifter.  During the day, the sun comes in and reflects off the trim and right into the my face.  I find I have to place my check book or wallet next to the gear shifter to keep the sun out of my eyes while driving.  I also end up driving with my hand on the shifter so the sun won't reflect up.  ",4.75
477, on 05/25/09 20:35 PM (PDT),bluemoon ,2009 Dodge Avenger Sedan R/T 4dr Sedan w/Prod. End 11/08 (3.5L 6cyl 6A),Great Vehicle - Great Mileage," I get 29 to 31 mpg on the highway with my RT, with a 35 and 6 speed trans.  Power when you need it.",5
478, on 04/01/09 11:48 AM (PDT),kris ,2009 Dodge Avenger Sedan SE 4dr Sedan w/Prod. End 11/08 (2.7L 6cyl 4A),Happy with the down size, I went from a Dodge caravan to this.  I was expecting better mpg.  I get 21mpg w/80% city.  I couldn't pass a turtle going downhill.  But the car suits my need and my kids get in and out just fine.  It is a great cheap car that is sharp on inside and out.  ,4.375
479, on 02/27/09 08:25 AM (PST),Ancona ,2009 Dodge Avenger Sedan R/T 4dr Sedan w/Prod. End 11/08 (3.5L 6cyl 6A),Great Car! Fun to Drive," This is my first car so I can be accused of not being experienced, but I will say from what I can tell.  The car is great.  It rides smoot and quiet.  Very comfortable and has plenty of space for passangers and cargo.  It could stand to have some buttons moved around like the hands free button on the left side instead of the right.  Overall great car.  I love it and plan taking good care of it.",4.625
480, on 11/17/08 05:23 AM (PST),Jim ,2009 Dodge Avenger Sedan SE 4dr Sedan w/Prod. End 11/08 (2.7L 6cyl 4A),Dodge did it again, I bought this car for my wife but it is just a great car and fun to drive. Our gas mileage after installing Amsoil went up to 37 city 41 hwy. I would recomend this car to everyone. It will keep your family safe,4.75
481, on 10/21/08 11:15 AM (PDT),JJW ,2009 Dodge Avenger Sedan SXT 4dr Sedan w/Prod. End 11/08 (2.4L 4cyl 4A),Fierce Look / Frustrated Owner!," I purchased the Brilliant Black Crystal Pearl (paint color) it's awesome!  The body style looks fierce/mean.  The ride is smooth and it's got alot of room in seating and trunk space.  BUT...the white interior choice is ugly (back deck & upper portion inside the vehicle).  The windshield wipers-on highest speed- don't work well.  Severe safety hazard.  The piece they've put on the back passenger windows is a BAD blind spot.  The ""cooler"" compartment is a total waste. As you start to drive- when the door locks fall into place, they're super loud. the turn signal sounds like it was taken out of and OLD car.  Very loud with the clicking noise.  MANY improvements should be made to this model  ",4
482, on 09/12/17 18:09 PM (PDT),Robert Bane ,2013 Dodge Avenger Sedan R/T 4dr Sedan (3.6L 6cyl 6A),Mopar Man," I bought my 2013 Avenger as a left over in March of 2014 with only 15 miles on the odometer. My first experience as a Dodge owner was with a 1996 Intrepid that my wife thought looked pretty nice and said I should try it out. It had 45,000 miles when I purchased it and I drove it for the next twelve years and when I finally gave it up it had 325,000 miles on it. Naturally I was drawn to the Dodge brand and the Avenger was a sporty looking car and I needed something to teach my daughter how to drive in. My other kids got to drive the Intrepid. I really wanted the Charger, but opted for the smaller sized car. Still not a bad choice. I opted for the 3.6L V6 engine since that was what my Intrepid had in it and have never been disappointed. the only problem I have encountered was when the car was about three months old, the transmission seemed to lock up one time as I was rolling to a stop sign. I couldn't get it to go into gear, but after towing it to the dealer and having them check it out, they found nothing and it never happened again. I now have almost 100,000 miles, I drive it a lot, have been through two sets of tires, change my own oil every 5,000 miles religiously and keep it a clean as I can living in North East Ohio. It's a blast to drive on the twisting up and down roads even in the snow. One of my co-workers drives a Subaru and he couldn't keep up with me one night. Sometimes you get bad cars, sometimes you get good cars. I work in the Auto industry and all the parts come from the same bin no matter who buys them. If you take care of your equipment, it will take care of you. If you like a sporty car, not too big or small with lots of power, this is your ride.",4
483, on 01/31/17 17:49 PM (PST),L W ,2013 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 6A),Hot yeah....no a/c.  No room car seats," A/C goes out on these so we traded it in last week. Google and see goes out on this car. Also, forget car seats this car for three babies/toddlers....don't fit in.",3
484, on 09/12/16 11:15 AM (PDT),Kumacho ,2013 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 6A),Don't do it!," I have had more than 25 cars in my life.  Of those I have purchased 5 new cars.  This is the worst new car I have ever owned and one of the worst overall cars I have ever owned.It overheated within 5,000 miles of ownership.  An orange grime appeared in the overflow tank and when I took it to the dealership they told me they had seen it numerous times and it was casting material that had not been completely flushed from the system at the factory.  The cruise control would refuse to turn on at times and the dealership could never reproduce it so it never was repaired.  It just became an issue I had to “live with”.  Fit and finish is mediocre at best.  The plastic surrounding the radio and middle vents in the dash never matched and again, the dealership stated replacing it wouldn’t change the gaps or the poor fit. The car had a surge from the day I bought it.  It also would start up and surge after a cold start, as if it were running too lean.  After three new releases of programing for the engine management computer the surge was still there.  It would surge at 25-35 mph and at 60ish mph. For 178 horse power this car has undesirable and inexcusable torque steer.  Leave a light from a stop and the car will pull hard right.  Leave the light under hard acceleration and if you don’t have ahold of the wheel you will do an un-commanded lane change in short order.The transmission never shifted smoothly.  Going uphill it would hunt for a gear.  Each time the transmission changes gears the torque steer pulls on the steering so going up a hill you are constantly correcting.The airbag warning light went off at 50,000 miles.  Source was a terrible design by Dodge.  There is a bungee cord pulling down on the wire bundle that leads to the headrest airbags.  Place a 220 pound man in the driver’s seat with this bungee cord pulling on the wires and you get broken wires.  Doesn’t take an engineer to figure that one out.Overall – Poor design, poor build quality, poor economy, horrible dealer support (or lack thereof) and a car that appears to be built to die in 5 years or less.*UPDATE* Chrysler has stopped production on the Dart, 200 and Avenger.  These platforms were substandard compared with others in the same class.  Since I created this review; I have traded the Avenger for a Nissan Altima.  I traded it with the same company that has sold me my last 5 cars.  The best they would offer me for trade was $5,600.  Trouble from the day I purchased it, poor MPG, mediocre quality and a horrid resale value.",2
485, on 03/16/16 19:51 PM (PDT),Edalb ,2013 Dodge Avenger Sedan SE 4dr Sedan (2.4L 4cyl 4A),Handles like its on rails!, Make sure your thermostats are working. Anyway this car handles awesome and the 4cyl is pretty quick too. The sound system is decent enough that I'm not going to change it until I blow a speaker. The trunk space is big too. Your tires are 225 which is awesome for a little car.,4
486, on 01/30/16 20:08 PM (PST),Jon ,2013 Dodge Avenger Sedan SE 4dr Sedan (2.4L 4cyl 4A),Got the Wobbles," Okay. So I have had my 2013 Avenger for about a year and a half. I'm sitting at 68,700 miles. A few months ago my brakes completely locked up and I couldn't even move my car. Cost my almost $1,000 to get it fixed. Now not even 3 months later my brakes are squeaking again. Terrible on brakes! Also a current issue.. I don't know if it's the transmission or what, but the entire car feels like it's vibrating and the steering wheel is especially wobbley. I hate it. It's so annoying! I will be trading this car in as soon as I can afford to and I will advise everyone who is looking for a new car not to purchase a Dodge Avenger. Terrible car!",1
487, on 01/31/15 16:02 PM (PST),av8tore71 ,2013 Dodge Avenger Sedan R/T 4dr Sedan (3.6L 6cyl 6A),Fun and reliable great priced car, Fast fun and a delight to drive ,4.625
488, on 01/19/15 05:17 AM (PST),deanhudgins ,2013 Dodge Avenger Sedan R/T 4dr Sedan (3.6L 6cyl 6A),Good value for price, I have the basic se model with the 3.6 engine.  I did look at a few other cars but was able to get this one in my price with the v6 vs others that only had a 4 cylinder. The v6 is nice and much better than the 4 cylinder in the avenger.  I also did not give up much in MPG vs the 4.  The ride is not bad at all and the seat are just find for my wife and I. MY son likes the pull down cup holders in the back seat. The Avenger is only a little smaller than some of the cars in its class but it's because of this that I liked it. It makes it much easier in parking lots and tight spaces. Be careful backing up because of the blind spot which is bigger than most cars. Overall I really enjoy this car.,4.75
489, on 12/14/13 06:36 AM (PST),lameduck9 ,2013 Dodge Avenger Sedan SE 4dr Sedan (2.4L 4cyl 4A),"Great, Good Looking U.S. Car"," We bought this Avenger SE after looking at several others cars. We checked a few others that we liked the looks but they were 3K+ more. We loved the looks of the Avenger, outside and inside. I was surprised at the great ride, it was a little on the firm side which I prefer, like sports suspension. The 2.4 has adequate power for the average person but for the young at heart, the 3.6L has more than enough power for theamateur road racer. The 4sp Auto is standard on the SE, Dodge should dump it and make the 6sp. standard on all Avengers. Look for all the incentives for a great deal!",4.5
490, on 10/16/13 00:50 AM (PDT),gogoallison ,2013 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 6A),However designed the seats should be FIRED!," The front seats have a horrible design flaw.The non-removable head rest tilts your neck 45 degrees forward.After driving for several hours, I was sick with a headache.My friend drove the next day and he got sick too.Another person rode as a passenger and she got sick.You won't notice the bad design in a test drive but you will notice it after about an hour.How did such a bad design ever get approved?So far, everyone who has spent time in the front seat of this car has become ill.",2.625
491, on 09/26/13 07:35 AM (PDT),lameduck9 ,2013 Dodge Avenger Sedan SE 4dr Sedan (2.4L 4cyl 4A),Great Affordable US made car," You must buy this car with incentives to get a great deal. We paid $16K and got a great trade-in price. This car is great looking, fun to drive, not to bad on gas and gets some great comments. The 2.4L is fine for everyday driving but if you want to super acceleration opt for the V-6 with 283HP. They should do away with the 4sp auto have the 6sp auto as standard, but it's not that bad. The SE exterior looks super sharp with a little bit of chrome tweeking. The interior is great looking and functional. The trunk has plenty of room. The handling and ride are superb on this model and better on the more expensive models. You can't go wrong with this car and the average family can afford it.",5
492, on 08/20/13 12:40 PM (PDT),lousal ,2013 Dodge Avenger Sedan SE 4dr Sedan (2.4L 4cyl 4A),2013 Avenger, I bought this vehicle mainly because of USAA reviews and price.I am extremely satisfied with it.My gas mileage is above the stated mileage.Last trip of about 130 miles I averaged 34 mpg.The acceleration is a little sluggish but that is what you have with a 4 cylinder engine.It is comfortable during long trips and very roomy.Both myself and my wife are not small people and we do not have any problems with roominess.The only problem I have had is that the manual states 4.5 qts of oil including oil filter but when I changed the oil and added exactly 4.5 qts it only showed half way within crosshairs on dipstick.I called the service department and was told that is normal.,4.75
493, on 05/21/13 05:28 AM (PDT),aclarke7 ,2013 Dodge Avenger Sedan SXT 4dr Sedan (2.4L 4cyl 6A),Good car for the price. ," So I purchased a 2013 Dodge Avenger three months ago. I bought it because the price was great, the car looks great, and it fit what I wanted and needed in a car. The car overall is exactly as Edmunds describes it in that it does have sluggish acceleration in the 4 cylinder. It is comfortable and has some nice added features to it. The Bluetooth works great and the car is a pretty good build for what it is. Be warned the gas mileage is on the low end compared to many other cars in the same class. That is the biggest downfall for what would otherwise be a great car. So far my car has not hit its estimated MPG rating at all which was a little disappointing.",4.25
494, on 05/04/13 14:12 PM (PDT),marwan1 ,2013 Dodge Avenger Sedan SE 4dr Sedan (2.4L 4cyl 4A),three times not starting ," a brand new 2013 dodge avenger, didn't start two times in the last 4 months,terrible service,they tried to fix it and messed it up and now died in the middle of the road.believe me you don't want to buy this car if you are counting on it to take you places.my experience with the service department was terrible and they almost make you feel responsible for their bad cars.windshield wiper pump died the second month and while fixing it they messed up my electrical system.dont believe anything about a star package ",2.375
495, on 02/11/13 15:21 PM (PST),bradyhenson ,2013 Dodge Avenger Sedan SE 4dr Sedan (2.4L 4cyl 4A),2013 avenger," Fun to drive, performance is good, quality is excellent, cool car! Comfortable driver and passenger seats.",5
496, on 12/08/17 07:21 AM (PST),Jordan ,2011 Dodge Avenger Sedan Express 4dr Sedan (2.4L 4cyl 4A),"Durable, Reliable, Fun, and Comfy!"," I purchased my avenger after researching several different used cars. I purchased it with 31k miles on it. in The first 2 years that i owned it i added roughly 40k miles to the odometer with several road trips between CO and OR. On my long road trips i was able to achieve 33mpg~ and had next to no problems with the exception of one trip when a cougar hit my front right quarter panel after which i drove safely for another 1100 miles back to CO. With regular maintenance this has been the most reliable car in my family, it has also been one of the most comfortable with room enough for my daughters car seat and 2 passengers in the back seat. I dont quite understand Edmunds con that the trunk is too small, i have literally fit 2 adults in the trunk comfortably before, i have also used it to lug 3-4 peoples snowboard gear up to the mountains safely and comfortably. This car is also fun when driven  correctly, i use it to chase my wife in her v6 suv down the hwy on occasion and did so quite successfully. The handling isnt F1 quality for sure but youre not going to lose control if you lay the pedal down through the corner either. I have loved this car since i purchased it and will be sad to see it go when it comes time to purchase something else.",5
497, on 07/18/16 08:56 AM (PDT),Joseph Rimmer ,2011 Dodge Avenger Sedan Mainstreet 4dr Sedan (2.4L 4cyl 6A),Doing Ok Dont Get Excited!! DODGE," Dodge Avenge Mainstreet- What A great Ride!! I've had my 2011Avenger from 2011-2016. no problems what so ever!! It currently has 155,000 miles on it and keeps goin!! do all maintenance regularly. This car still can go another 100,000. its been driven to Texas over ten times!! From Minnesota.. always dependable!!",5
498, on 06/29/16 19:47 PM (PDT),Bria ,2011 Dodge Avenger Sedan Express 4dr Sedan (2.4L 4cyl 4A),Worst Car I Ever Owned!, This car was a huge lesson learned. The dealership played me into buying a car that was more than what it was worth. Selling it had been a huge hassle and knowing what I know now I'd do so much better. The car literally falls apart every other month. I’m glad to be purchasing something that isn’t Dodge going forward.,1
499, on 03/08/16 08:30 AM (PST),cindi ,2011 Dodge Avenger Sedan Express 4dr Sedan (2.4L 4cyl 4A),Awsome comfort! horrible reliability," If you are looking for a comfortable car, for short and tall people, and a smooth/quiet ride, with a sharp look to it, than this car is for you. BUT, if you are looking for a reliable car, than this is NOT the one you want!!  we have had this car for 6 months and has been in the shop 3 times, granted it has just less than 80k on it, one time was for routine mantanace, but once was the check engine light sensor and just now the alternater. We are wondering ""what next"" we cannot afford payment plus fixing problems that should not happen.. sigh.. will not buy another Avenger, even though it is VERY comfortable and is sharp looking, it is not reliable, beauty is not everything.",2
500, on 09/23/15 06:20 AM (PDT),Logan King ,2011 Dodge Avenger Sedan Lux 4dr Sedan (2.4L 4cyl 6A),"Fool me once dodge, but fool me twice"," This is my second dodge first one the thermostat housing cracked and had to be replaced as well as water pump till finally died, I now have an avenger certified pre owned and less than 80,000 miles and regularly maintenance and same issues with this one. Two dodges same problems all coming to the amount of 900 plus in price.",2
501, on 06/24/13 16:24 PM (PDT),don419 ,2011 Dodge Avenger Sedan Mainstreet 4dr Sedan (2.4L 4cyl 6A),My 2011 Dodge Avenger is JUNK," I bought my 2011 Dodge Avenger New (23 miles on it)I started having transmission problems at 500 miles, clunking,jerking, its scary sometimes, it now has 21000 miles been in shop 14 times, still no fixed, Dodge Corp. says all dodges do it , its normal.. there liars to me the main dodge mechanic's came on feb 4 and checked my car out I don`t know how when it was in my garage on that day..I feel that anyone wanting to buy a car Stay Away From Dodge there Junk..this is my first dodge & last.. Dodge transmission mechanic told me the computer needs updates witch Dodge doesn`t have, last Tuesday Beth at Dodge Corp. told me it was a one driver car !Liar's , Liar`s , Liar`s .Very Sad Com",3.125
502, on 04/28/13 08:21 AM (PDT),johntesh71 ,2011 Dodge Avenger Sedan Mainstreet 4dr Sedan (2.4L 4cyl 6A),2 years and lost it's luster," So after 2 years and finally trading it in....the Avenger just stopped being fun...35,000 miles and the engine and transmission just seemed slower and it's as if the performance just got sucked out of it.....rust started corroding the rocker panels and the front bumper cover fell apart...some small interior faults such as tears in steering wheel and seats from overuse....it's a great car just lost it's luster for some reason",3.875
503, on 01/29/13 06:24 AM (PST),pwlowe61 ,2011 Dodge Avenger Sedan Mainstreet 4dr Sedan (2.4L 4cyl 6A),good car so far, Price and quality is pretty good. ,4.875
504, on 11/15/12 08:18 AM (PST),zones9 ,2011 Dodge Avenger Sedan Mainstreet 4dr Sedan (2.4L 4cyl 6A),1 1/2 years later I still love it," I have owned many dodge vehicles in my life time but this has to be the best for the dollar.I purchased mine in March of '11 the mainstreet heat series. I was at the dealership getting my Jeep serviced (vehicle that I HATED) when I saw the truck pull in with my Avenger on it...BlackBerry Pearl..she was pretty. Took a different color out for a test drive because that one wasn't even in the system yet and was super impressed!!!I went back after thinking about it and got the one I wanted!The list of features on this vehicle has no end therefore trying to ""trade up"" for the price becomes very hard to do! Love my climate control.Was very disappointed that dodge knocked down the 2012 model",5
505, on 02/07/12 12:49 PM (PST),ramforever ,2011 Dodge Avenger Sedan Lux 4dr Sedan (2.4L 4cyl 6A),Very fun and fast car," I have just purchased a new 2011 avenger lux edition with the 3.6L V6 this car is great have only had a few days but all you have to do is sit in this car. and your sold the comfort is amazing, My car came with the all black leather interior, loaded. then when you drive this car the interior is so quiet its hard to believe. The new V6 that I have been hearing about and now driven myself. has awesome hp and torque, put together with the 6 speed auto-stick transmission. this is the perfect combination. Chrysler did an amazing job on this car. will write another review after I put some miles on the car.",4.875
506, on 01/05/12 06:50 AM (PST),melindaed5172 ,2011 Dodge Avenger Sedan Mainstreet 4dr Sedan (2.4L 4cyl 6A),Bad car (LEMON)," This is the first time I have bought a new car and had issues.1. Klunking sound when shifts (Chrysler said this is normal)2. Trunk leaks when you open it and it has rained. (Factory default, nothing I can do about this)3. Stalled on me at stop light. (Nothing found wrong.)4. Can't reach to open the door when it is opened all the way (Factory issue, nothing they can do about this.5. Sounds like the powersteering is going bad , chirps like a bird sometimes. (couldn't find anything wrong)6. Sloshing sound in car when at low speeds going forward and backward( Nothing found)So you see they don't stand behind their product. Thinking about a class action suit. ",1.375
507, on 11/16/11 20:18 PM (PST),johntesh71 ,2011 Dodge Avenger Sedan Mainstreet 4dr Sedan (2.4L 4cyl 6A),Love my Dodge!," Ok so Im officially 3 months into ownership, and I can't find one thing wrong with this car.....The car now has 5000 miles on it and hasn't required an oil change or any major maintenance since I got it...The car is still fast as hell with its stock 295 HP V6, beating out 0-60 times of 5.7 seconds and quarter miles of nearly 14 seconds at nearly 100mph.....But still the wonky Torque steer and the very speedy transmission get in the way of any true performance from this cars amazing engine which still gets around 31MPG highway and nearly 24 city...I have never owned a better vehicle in my life and Will never stray from my Chrysler products for as long as they exist.",5
508, on 11/08/11 20:52 PM (PST),rtm82 ,2011 Dodge Avenger Sedan Lux 4dr Sedan (2.4L 4cyl 6A),I LOVE THIS CAR!," Mulled over whether or not to buy for over six months!!Could not decide what car to buy, was looking at Kias, Fords, Hyundais and Chevy's.After doing market research and driving each one about 5 times (poor salesmen), I finally decided that the Avenger was the funnest!Not to mention, the MYGIG system is awesome!I was a little unsure about my purchase after I made it, but every day after I bought it, I fall in love more and more!This car has all the power I need, and if I drive it nice, this awesome V6 still gets 25mpg in town!I am so happy I took my time to make a decision, this is a perfect car for me!",4.625
509, on 10/12/11 07:06 AM (PDT),kuvasz101 ,2011 Dodge Avenger Sedan Lux 4dr Sedan (2.4L 4cyl 6A),2011 3.6 Dodge Avenger Lux," I am in my 50s and have driven all types of cars. I have owned numerous Chrysler performnace cars. I wanted something sharp looking and fun to drive. I can't stop driving this car, I love it. The handling and performance are great. The auto climate control works super. The sound system makes it a pleasure on long trips. I could honestly say this is the best car I have owned for its money.",5
510, on 09/22/11 09:25 AM (PDT),johntesh71 ,2011 Dodge Avenger Sedan Mainstreet 4dr Sedan (2.4L 4cyl 6A),Dodge for Life!!," Bought the Avenger Heat with the Pentastar V6. Very powerful and sporty car, Getting just around 33MPG Highway way above the est. 29MPG and about 25 in the city....Just hate those Early shifts from the transmission, and also the unavoidable torque steer from the 300 HP engine bogging down the power steering. The entire is like a jump into a lavish sport sedan....Soft touch leather everywhere, Dodge U-connect phone is sometimes awful....The touch screen gets gummed up really easy, but the seats are stain resistant and everything is easy to see and very user friendly. Love this car and hope to keep it for many years to come.",5
511, on 07/26/11 18:10 PM (PDT),budley1 ,2011 Dodge Avenger Sedan Mainstreet 4dr Sedan (2.4L 4cyl 6A),AVENGER HEAT, I had one of the first road runners in Seattle.This car is just as fun as that was.I average 24mpg and have a heavy foot.After 3 months there is little I would change.,5
512, on 05/30/11 08:18 AM (PDT),georgecavalier ,2011 Dodge Avenger Sedan Mainstreet 4dr Sedan (2.4L 4cyl 6A),Better Than You Think," Bought in Heat trim with the 3.6 Pentastar V6... Edmunds wouldn't let me choose that for a trim. MSRP was close to $26K but I got it for just above $18K. Car has plenty of power, my only gripe with performance is the economy-minded transmission. It's quick to get to high gear and sometimes needs a stab of the gas to shift down. Otherwise, a fun car to drive that never feels underpowered. I get around mid-20s MPG but probably could do better if I kept my foot off the gas pedal. Smaller than a lot of midsizers nowadays but there's more room than you'd expect. Nobody feels crampt. The cabin for '11 is much nicer with plenty of high quality materials. Rides smoothly and there's little noise.",4.625
513, on 05/19/11 13:37 PM (PDT),krs4 ,2011 Dodge Avenger Sedan Lux 4dr Sedan (2.4L 4cyl 6A),2011 Dogde Avenger LUX ," Black Pearl CoatLeather InteriorFully LoadedI looked at the Ford Fusion, Nissan Altima and the Honda Accord.If you want to stand out and have a car that is fun to drive. Buy the Dodge Avenger. I love this car!It looks so good compared to the above mentioned competitors. It is so fast with the 283 HP engine. Highway MPG is respectable and City is good too. The features this LUX version has are incredible. The UConnect system compares will with the Ford Sync system. It even does some things Sync cannot. The build in 30 GB HDD is so great.I have never written a review on-line before but I had to tell people to look at this car. It is my pride and joy!It is a little muscle car!",5
514, on 05/16/11 15:43 PM (PDT),dodgefan7 ,2011 Dodge Avenger Sedan Mainstreet 4dr Sedan (2.4L 4cyl 6A),No better value," No other car has horse power in the ball park of this car for less than 28 grand. The V6 is awesome. Also, the interior is packed with stuff. No other car can beat the Avenger price wise.",4.875
515, on 05/15/11 23:12 PM (PDT),sandyman1 ,2011 Dodge Avenger Sedan Mainstreet 4dr Sedan (2.4L 4cyl 6A),Avenger HEAT V6 ," I waited a couple of weeks to write a review on my Avenger Heat.It's so new, it's not even listed in the models.Fully loaded. This car is awesome!Pentastar V6 3.6 liter monster.Smooth, and just a beast wen you get on it.Same motor going into the Challenger and Charger.The interior is sick!Everyone loves the red seat/door inserts and red stitching. The quality of the interior is way high this year, impressive.Media center 430 is awesome.Great sound, dvd movies, thunder bass and detail.Blue tooth, voice command.Black Berry Pearl paint, 18 inch alloys, multi-link suspension front and back, 6 speed auto/manual shift.Great sound from the dual exhaust.Test drive it now!!!",5
516, on 04/16/11 04:43 AM (PDT),krs4 ,2011 Dodge Avenger Sedan Lux 4dr Sedan (2.4L 4cyl 6A),A blast to drive," 3.6L Penstar V6 LUX ModelMSRP $27805Fully loadedI researched this car for weeks. Looked at the Ford Fusion, Nissan Altima and Honda Accord. I have had it less than a week and everyone who sees it says, ""wow"", nice car.""This car is a blast to drive, is stunning to behold compared to it's rivals. It has ever bell and whistle I wanted. Any of the others were less well equipped for the money.This is a sports car at heart. It will get up and go if you want it to. The interior is awesome. Comfortable, well laid out and stylish.Be different and buy this car. ",4.875
517, on 01/24/11 21:03 PM (PST),malibubandit81 ,2011 Dodge Avenger Sedan Lux 4dr Sedan (2.4L 4cyl 6A),MOPAR OR NO CAR!," I wanted a 2010 AWD 3.5 Charger but couldn't find one...I considered waiting for the '11 Chargers but they aren't making an AWD model with the Pentastar V6 and I can't afford the Hemi price. Then 2 idenitically optioned '11 Avenger Lux models show up at my favorite Mopar dealership. Didn't even know Dodge was building them yet! I test drove one and quickly fell in love with the new Pentastar V6. Next thing I know, i've had the car for exactly a week now and I couldn't be any happier! Redesigned body looks great, drives like a million bucks, interior is wicked comfortable, I recommend the new V6 Avenger to EVERYONE!",5
